"flux","G variance","E variance","G-by-E varicane","residual","G%","E%","GxE%","e%","h2"
"X223","7.27107830022572e-05","0.000325712134020895","5.57598201235848e-05","6.93604768101215e-05","0.138882103833837","0.622130371166906","0.106504713722026","0.132482811277231","0.165203088693181"
"X224","7.27107830022572e-05","0.000325712134020895","5.57598201235848e-05","6.93604768101215e-05","0.138882103833837","0.622130371166906","0.106504713722026","0.132482811277231","0.165203088693181"
"X225","2.99478439488863e-07","1.16104951779573e-06","1.93017381401678e-07","2.87691323882257e-07","0.154271988193655","0.59809787244565","0.0994301133517069","0.148200026008988","0.184776071002184"
"X226","2.99478439488863e-07","1.16104951779573e-06","1.93017381401678e-07","2.87691323882257e-07","0.154271988193655","0.59809787244565","0.0994301133517069","0.148200026008988","0.184776071002184"
"X227","2.99478439488863e-07","1.16104951779573e-06","1.93017381401678e-07","2.87691323882257e-07","0.154271988193655","0.59809787244565","0.0994301133517069","0.148200026008988","0.184776071002184"
"X228","2.99477582231808e-07","1.16096224796563e-06","1.9171843891162e-07","2.88991659048174e-07","0.154278439747365","0.598079638839516","0.0987653947439401","0.148876526669178","0.184785536643139"
"X229","2.99477582231808e-07","1.16096224796563e-06","1.9171843891162e-07","2.88991659048174e-07","0.154278439747365","0.598079638839516","0.0987653947439401","0.148876526669178","0.184785536643139"
"X230","4.9853417717221e-08","1.93262252119222e-07","3.21256161372122e-08","4.79009395505694e-08","0.154277014204334","0.598071798898142","0.099416336212625","0.148234850684899","0.184785196332969"
"X231","0.000277700803412747","0.00138129051558235","0.000301318859338646","0.000209855914706365","0.127962926111211","0.636490690741255","0.138845989855338","0.0967003932921951","0.151800261084003"
"X232","0.0189161001275427","0.0316878269237805","0.015396908162943","0.0151302747927704","0.23315470632538","0.390575537805808","0.189778103142033","0.186491652726779","0.311224211784444"
"X233","3.70769513672415e-08","1.43727460517934e-07","2.37782309678016e-08","3.57382784937869e-08","0.154280997091145","0.598064703282935","0.0989436576497287","0.148710641976191","0.184790426132011"
"X234","2.99477582231808e-07","1.16096224796563e-06","1.9171843891162e-07","2.88991659048174e-07","0.154278439747365","0.598079638839516","0.0987653947439401","0.148876526669178","0.184785536643139"
